"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Jun 09 01:43:02 UTC 2024","Sun Jun 09 01:55:50 UTC 2024","768121","tests.integration","test_password_rotation","","","","test_deploy_active","Build the charm and deploy it."
"passed","Sun Jun 09 01:57:50 UTC 2024","Sun Jun 09 01:57:51 UTC 2024","1034","tests.integration","test_charm","","","","test_settings_are_correct[0]",""
"passed","Sun Jun 09 01:54:24 UTC 2024","Sun Jun 09 02:01:48 UTC 2024","444675","tests.integration.ha_tests","test_smoke","","","","test_app_force_removal","Remove unit with force while storage is alive."
"unknown","","","","tests.integration.ha_tests","test_async_replication","","","","test_scaling","Test that async replication works when scaling the clusters."
"passed","Sun Jun 09 02:00:25 UTC 2024","Sun Jun 09 02:00:34 UTC 2024","8420","tests.integration","test_password_rotation","","","","test_no_password_change_on_invalid_password","Test that in general, there is no change when password validation fails."
"passed","Sun Jun 09 01:55:15 UTC 2024","Sun Jun 09 02:04:39 UTC 2024","563452","tests.integration","test_plugins","","","","test_plugins","Build and deploy one unit of PostgreSQL and then test the available plugins."
"passed","Sun Jun 09 02:16:37 UTC 2024","Sun Jun 09 02:16:37 UTC 2024","419","tests.integration.new_relations","test_new_relations","","","","test_user_with_extra_roles","Test superuser actions and the request for more permissions."
"passed","Sun Jun 09 01:59:53 UTC 2024","Sun Jun 09 02:00:23 UTC 2024","30183","tests.integration","test_password_rotation","","","","test_empty_password","Test that the password can't be set to an empty string."
"passed","Sun Jun 09 02:00:23 UTC 2024","Sun Jun 09 02:00:25 UTC 2024","2027","tests.integration","test_password_rotation","","","","test_db_connection_with_empty_password","Test that user can't connect with empty password."
"skipped","Sun Jun 09 01:39:27 UTC 2024","Sun Jun 09 01:39:27 UTC 2024","0","tests.integration.ha_tests","test_upgrade_from_stable","","","","test_upgrade_from_stable","Test updating from stable channel."
